file,label,reasons
html\plain_aast.edu_en_colleges_coe_smartvillage_stafftemp.php_admin=2&&unit_id=419.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_stafftemp.php_admin=3&&unit_id=419.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_smartvillage_success-stories.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_contact-us.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=499.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=644.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=645.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=647.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=648.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_stafftemp.php_admin=1&&unit_id=474.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_stafftemp.php_admin=2&&unit_id=474.html,not_program,fail:url
html\plain_aast.edu_en_colleges_coe_southValley_stafftemp.php_admin=3&&unit_id=474.html,not_program,fail:url
html\plain_aast.edu_en_colleges_comt_latakia_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_gsb_Alex_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_gsb_cairo_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_gsb_elalamein_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_gsb_smart_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_img_Physical-Therapy.jpg.html,not_program,fail:url
html\plain_aast.edu_en_colleges_pharmacy_alex_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_pharmacy_ElAlamein_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_placement-test_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_postgraduate.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_all-ach.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_announcements.php_unit_id=1000.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_events.php_unit_id=1000.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_local-achievments.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_local-training_all-ach.php_unit_id=539.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_news.php_unit_id=1000.html,not_program,fail:url
html\plain_aast.edu_en_colleges_practical-training_photogallery.php_unit_id=1000.html,not_program,fail:url
html\plain_aast.edu_en_colleges_undergraduate.php.html,not_program,fail:url
html\plain_aast.edu_en_complexes_.html,not_program,fail:url
html\plain_aast.edu_en_complexes_imo_.html,not_program,fail:url
html\plain_aast.edu_en_conferences_ADC-LAS_.html,not_program,fail:url
html\plain_aast.edu_en_contacts_.html,not_program,fail:url
html\plain_aast.edu_en_contacts_contact-us.php.html,not_program,fail:url
html\plain_aast.edu_en_contacts_maps.php.html,not_program,fail:url
html\plain_aast.edu_en_deaneries_.html,not_program,fail:url
html\plain_aast.edu_en_deaneries_csp_alex_.html,not_program,fail:url
html\plain_aast.edu_en_deaneries_csp_southvalley_.html,not_program,fail:url
html\plain_aast.edu_en_events_.html,not_program,fail:url
html\plain_aast.edu_en_events_index.php_unit_id=1.html,not_program,fail:url
html\plain_aast.edu_en_events_index.php_unit_id=482.html,not_program,fail:url
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=11.html,not_program,fail:url
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=1314.html,not_program,fail:url
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=1363.html,not_program,fail:url
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=1409.html,not_program,fail:url
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=22.html,not_program,fail:url
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=29.html,not_program,fail:url
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=32.html,not_program,fail:url
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=7.html,not_program,fail:url
html\plain_aast.edu_en_idc_apps_reg_paths.php.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Far%2F%26lnselect%3D1.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Far%2Fcolleges%2F%26lnselect%3D1.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2Fcontenttemp.php%3Fpage_id%3D1000100020%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2Fcontenttemp.php%3Fpage_id%3D1000100025%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2Fcontenttemp.php%3Fpage_id%3D1000100031%26lnselect%3D2.html,not_program,fail:url
