file,label,text_length
html\plain_aast.edu_en_colleges_coe_southValley_stafftemp.php_admin=2&&unit_id=474.html,staff,4983
html\plain_aast.edu_en_colleges_coe_southValley_stafftemp.php_admin=3&&unit_id=474.html,college,3865
html\plain_aast.edu_en_colleges_comt_latakia_.html,college,1294
html\plain_aast.edu_en_colleges_gsb_Alex_.html,program,7723
html\plain_aast.edu_en_colleges_gsb_cairo_.html,staff,2637
html\plain_aast.edu_en_colleges_gsb_elalamein_.html,program,3004
html\plain_aast.edu_en_colleges_gsb_smart_.html,staff,2143
html\plain_aast.edu_en_colleges_img_Physical-Therapy.jpg.html,gallery,29951
html\plain_aast.edu_en_colleges_pharmacy_alex_.html,college,7798
html\plain_aast.edu_en_colleges_pharmacy_ElAlamein_.html,college,7508
html\plain_aast.edu_en_colleges_placement-test_.html,college,4483
html\plain_aast.edu_en_colleges_postgraduate.php.html,college,5392
html\plain_aast.edu_en_colleges_practical-training_.html,college,6759
html\plain_aast.edu_en_colleges_practical-training_all-ach.php.html,college,5628
html\plain_aast.edu_en_colleges_practical-training_announcements.php_unit_id=1000.html,college,3820
html\plain_aast.edu_en_colleges_practical-training_events.php_unit_id=1000.html,event,3170
html\plain_aast.edu_en_colleges_practical-training_index.php.html,college,6759
html\plain_aast.edu_en_colleges_practical-training_local-achievments.php.html,college,4167
html\plain_aast.edu_en_colleges_practical-training_local-training_all-ach.php_unit_id=539.html,department,8337
html\plain_aast.edu_en_colleges_practical-training_news.php_unit_id=1000.html,news,3561
html\plain_aast.edu_en_colleges_practical-training_photogallery.php_unit_id=1000.html,college,3124
html\plain_aast.edu_en_colleges_undergraduate.php.html,college,4523
html\plain_aast.edu_en_complexes_.html,college,2984
html\plain_aast.edu_en_complexes_imo_.html,program,5458
html\plain_aast.edu_en_conferences_ADC-LAS_.html,staff,25287
html\plain_aast.edu_en_contacts_.html,program,4886
html\plain_aast.edu_en_contacts_contact-us.php.html,program,4795
html\plain_aast.edu_en_contacts_maps.php.html,college,2642
html\plain_aast.edu_en_deaneries_.html,college,3270
html\plain_aast.edu_en_deaneries_csp_alex_.html,program,9398
html\plain_aast.edu_en_deaneries_csp_southvalley_.html,program,7344
html\plain_aast.edu_en_events_.html,event,2792
html\plain_aast.edu_en_events_index.php_unit_id=1.html,event,5646
html\plain_aast.edu_en_events_index.php_unit_id=482.html,event,5273
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=11.html,gallery,2892
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=1314.html,gallery,2950
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=1363.html,gallery,3058
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=1409.html,gallery,3410
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=22.html,gallery,3131
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=29.html,gallery,2948
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=32.html,gallery,2979
html\plain_aast.edu_en_gallery_album.php_unit_id=1&gallery_id=7.html,gallery,2931
html\plain_aast.edu_en_idc_apps_reg_paths.php.html,program,3373
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Far%2F%26lnselect%3D1.html,college,11362
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Far%2Fcolleges%2F%26lnselect%3D1.html,college,3909
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2F%26lnselect%3D2.html,announcement,9804
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2F%26lnselect%3D2.html,news,5833
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2Fcontenttemp.php%3Fpage_id%3D1000100020%26lnselect%3D2.html,staff,11974
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2Fcontenttemp.php%3Fpage_id%3D1000100025%26lnselect%3D2.html,staff,10972
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2Fcontenttemp.php%3Fpage_id%3D1000100031%26lnselect%3D2.html,news,3764
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fadmission%2F%26lnselect%3D2.html,college,4103
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcampuses%2F%26lnselect%3D2.html,news,2735
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2F%26lnselect%3D2.html,college,3740
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2Fcoe%2Falex%2F%26lnselect%3D2.html,college,6224
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2Fcoe%2Fheliopolis%2F%26lnselect%3D2.html,college,7067
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2Fpractical-training%2F%26lnselect%3D2.html,college,2883
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fevents%2F%26lnselect%3D2.html,event,2526
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fgallery%2Findex.php%26lnselect%3D2.html,gallery,2633
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fidc_apps%2Freg_paths.php%26lnselect%3D2.html,news,3049
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Findex.php%26lnselect%3D2.html,announcement,9804
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fnews%2F%26lnselect%3D2.html,news,2552
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fprograms-courses%2Fresults.php%3Farea_study_id%3D0%26search%3D%26lnselect%3D2.html,department,2772
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fvice%2Fedu-affairs%2F%26lnselect%3D2.html,staff,6216
html\plain_aast.edu_en_index.php.html,college,11362
html\plain_aast.edu_en_info-for_applicants_.html,college,5853
html\plain_aast.edu_en_info-for_staff_.html,staff,4285
html\plain_aast.edu_en_info-for_students_.html,college,5930
html\plain_aast.edu_en_info-for_visitors_.html,college,5222
html\plain_aast.edu_en_institutes_.html,college,2782
html\plain_aast.edu_en_institutes_aild_.html,program,5947
html\plain_aast.edu_en_institutes_pqi-cairo_contenttemp_item.php_unit_item=461&page_id=46100001.html,program,1486
html\plain_aast.edu_en_institutes_rmsi_.html,program,6853
html\plain_aast.edu_en_maritime_.html,program,9940
html\plain_aast.edu_en_new-applicants-2023_img_tabs_Digitalart.png.html,other,66917
html\plain_aast.edu_en_news.php_language=1&view=1&unit_id=1&event=7567&get_event_type=1.html,news,3403
html\plain_aast.edu_en_news.php_language=1&view=1&unit_id=1&event=7568&get_event_type=1.html,news,3403
html\plain_aast.edu_en_news_.html,news,2693
html\plain_aast.edu_en_news_index.php_unit_id=1.html,news,3403
html\plain_aast.edu_en_news_news-album.php_language=1&view=1&unit_id=1&news_id=486105540&event_type_id=1.html,news,2678
html\plain_aast.edu_en_news_news-album.php_language=1&view=1&unit_id=1&news_id=486105541&event_type_id=1.html,news,2678
html\plain_aast.edu_en_news_news-album.php_language=1&view=1&unit_id=1&news_id=486105542&event_type_id=1.html,news,2678
html\plain_aast.edu_en_oil-gas_.html,college,1467
html\plain_aast.edu_en_presidency_.html,gallery,3283
html\plain_aast.edu_en_presidency_bio.php.html,college,6575
html\plain_aast.edu_en_presidency_news.php.html,news,2717
html\plain_aast.edu_en_presidency_speech-details.php_ser=2.html,gallery,2585
html\plain_aast.edu_en_presidency_speech-details.php_ser=3.html,gallery,2561
html\plain_aast.edu_en_presidency_speech-details.php_ser=4.html,gallery,2582
html\plain_aast.edu_en_presidency_speech-details.php_ser=5.html,gallery,2606
html\plain_aast.edu_en_presidency_speeches.php.html,gallery,3094
html\plain_aast.edu_en_programs-courses_program.php_unit_id=232&program_id=411&language_id=1.html,program,4871
html\plain_aast.edu_en_programs-courses_program.php_unit_id=616&program_id=380&language_id=1.html,program,7424
html\plain_aast.edu_en_programs-courses_results-postgrad.php.html,program,14337
html\plain_aast.edu_en_programs-courses_results-undergrad.php.html,college,19303
html\plain_aast.edu_en_programs-courses_results.php.html,program,5920
html\plain_aast.edu_en_programs-courses_results.php_area_study_id=0&search=.html,program,5920
html\plain_aast.edu_en_research_.html,program,12407
html\plain_aast.edu_en_research_announcements.php_unit_id=473.html,announcement,4077
html\plain_aast.edu_en_research_conference.php_language=1&view=1&unit_id=1&event_type_id=2.html,program,7156
html\plain_aast.edu_en_research_events.php_unit_id=473.html,event,4307
html\plain_aast.edu_en_research_index.php.html,program,12407
html\plain_aast.edu_en_research_list_staff.php_unit_id=473.html,staff,3969
html\plain_aast.edu_en_research_news.php_unit_id=473.html,news,4508
html\plain_aast.edu_en_research_photogallery.php_unit_id=473.html,gallery,4079
html\plain_aast.edu_en_scientific-research_projects_.html,news,2261
html\plain_aast.edu_en_scientific-research_projects_all-projects.php.html,staff,3527
html\plain_aast.edu_en_scientific-research_projects_project.php_uid=0&proj_id=3718.html,staff,3360
